ProductID,ProductName,Category,UnitOfMeasure,StandardCost,ListPrice,Currency,OriginCountry
PROD-2000,Copper,Agriculture,MT,150.0,200.0,USD,USA
PROD-2001,Undefined,Energy,MT,150.0,300.0,USD,China
PROD-2002,Corn,Agriculture,MT,150.0,200.0,USD,Unknown
PROD-2003,Wheat,Energy,MT,150.0,300.0,USD,Unknown
PROD-2004,Copper,Other,MT,150.0,300.0,USD,Unknown
PROD-2005,Aluminum,Agriculture,MT,100.0,200.0,USD,Unknown
PROD-2006,Steel,Energy,KG,150.0,300.0,USD,Unknown
PROD-2007,Undefined,Energy,KG,100.0,300.0,USD,Brazil
PROD-2008,Wheat,Energy,KG,150.0,300.0,USD,Unknown
PROD-2009,Copper,Agriculture,MT,150.0,300.0,USD,Germany
PROD-2010,Steel,Other,KG,150.0,300.0,USD,Unknown
PROD-2011,Undefined,Energy,MT,150.0,200.0,USD,China
PROD-2012,Copper,Metal,MT,150.0,300.0,USD,Germany
PROD-2013,Steel,Energy,MT,150.0,200.0,USD,USA
PROD-2014,Undefined,Other,MT,100.0,200.0,USD,Germany
PROD-2015,Copper,Agriculture,KG,150.0,200.0,USD,USA
PROD-2016,Steel,Metal,MT,150.0,300.0,USD,Unknown
PROD-2017,Corn,Energy,MT,150.0,300.0,USD,Brazil
PROD-2018,Undefined,Other,MT,150.0,300.0,USD,USA
PROD-2019,Undefined,Other,MT,150.0,300.0,USD,Germany
PROD-2020,Aluminum,Metal,MT,100.0,200.0,USD,Unknown
PROD-2021,Steel,Agriculture,MT,150.0,300.0,USD,Germany
PROD-2022,Wheat,Agriculture,MT,150.0,300.0,USD,China
PROD-2023,Wheat,Agriculture,KG,150.0,300.0,USD,USA
PROD-2024,Aluminum,Metal,KG,100.0,300.0,USD,Unknown
PROD-2025,Aluminum,Metal,MT,150.0,300.0,USD,Germany
PROD-2026,Corn,Metal,KG,100.0,300.0,USD,Germany
PROD-2027,Aluminum,Other,MT,150.0,300.0,USD,China
